Title,Title_link,Thumbnail,eyebrow,time,dek
Is there reason to panic about a second wave of coronavirus?,https://www.foxnews.com/transcript/is-there-reason-to-panic-about-a-second-wave-of-coronavirus,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/80c33c00-405a-40da-9d67-7a4f3866cf70/b4846aea-8881-451e-9d3f-f85f377e74f4/1280x720/match/156/88/image.jpg?ve=1&tl=1,transcript,1 month ago,It's a high-stakes strategy for the Asian nation fighting to keep its superpower status amid a national lockdown and palpable anger over claims of a cover-up made worse by an economic crisis.
Cruz rolls out bill to provide tax credits to businesses who test employees for coronavirus weekly,https://www.foxnews.com/politics/cruz-rolls-out-bill-to-provide-tax-credits-to-businesses-who-test-employees-for-covid-19-weekly,https://a57.foxnews.com/media.foxbusiness.com/BrightCove/854081161001/202005/489/156/88/854081161001_6160343081001_6160347722001-vs.jpg?ve=1&tl=1,politics,1 month ago,Sen. Ted Cruz on Tuesday rolled out new legislation that would provide tax credits to businesses that plan to test employees for the novel coronavirus every week in states where the infection rates are above the national average.
Bernie Sanders blasts Trump's planned rally: 'Literally incomprehensible',https://www.foxnews.com/politics/bernie-sanders-blasts-trump-rally,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/c0a4d9ef-681e-4d5b-bc1b-c192dcdee720/c3a348b8-bb7d-4721-8053-3008d40bbec7/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,14 days ago,"Sen. Bernie Sanders, I-Vt., the former presidential contender, blasted President Trump on Wednesday for hosting a large rally in Oklahoma this weekend amid the coronavirus outbreak simply “to hear cheers from his supporters.”"
"As Trump attacks WHO in a letter, member states remain loyal amid coronavirus pandemic",https://www.foxnews.com/world/trump-attacks-who-letter-member-states-remain-loyal-coronavirus-response,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/05/156/88/Tedros-Trump_AP.jpg?ve=1&tl=1,world,1 month ago,"President Trump’s letter of warning to the World Health Organization (WHO) was met with dismissal from member states during the WHO Tuesday, as nations remained loyal to the organization rather than back the U.S."
Dr. Siegel offers positive outlook on dealing with 'second wave' of COVID-19 in fall,https://www.foxnews.com/media/siegel-offers-positive-news-on-projected-second-wave-of-covid,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/04/156/88/siegel-1.jpg?ve=1&tl=1,media,2 months ago,"Dr. Marc Siegel told “Outnumbered’ on Wednesday that while the Centers for Disease Control and Prevention believes the coronavirus will have a second wave later in the year, the “good news” is that the United States is seeing “flattening of cases.”"
Online petition urges Disneyland Resort not to reopen amid fears of second coronavirus wave: 'Irresponsible',https://www.foxnews.com/travel/online-petition-disneyland-resort-not-reopen-coronavirus,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/06/156/88/DisneylandPhasedReopening.jpg?ve=1&tl=1,travel,1 month ago,They think it’s downright goofy to open back up.
Jim Hanson: Iran’s aggression may force Trump to launch military attack,https://www.foxnews.com/opinion/jim-hanson-irans-aggression-may-force-trump-to-attack,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2019/06/13/156/88/694940094001_6048069211001_6048070293001-vs.jpg?ve=1&tl=1,opinion,1 year ago,The patience of the Trump administration with Iranian aggression is running out. A US military attack on Iran may be coming.
Kellyanne Conway slams Twitter's Trump fact-checks: They're done by 'people who attack him all day long',https://www.foxnews.com/media/kellyanne-conway-twitter-fact-check-trump-mail-in-ballot-fraud,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/05/156/88/Kellyanne-Conway-Twitter-using-people-who-attack-Trump-to-factcheck-him.jpg?ve=1&tl=1,media,1 month ago,"In a sharp rebuke of Twitter's first-ever move to fact-check a tweet by President Trump, White House adviser to the president Kellyanne Conway insisted Wednesday that Democrats within the mainstream media cannot be relied upon."
Trump says 'scariest day of my life' was being told US was short on ventilators,https://www.foxnews.com/politics/trump-scariest-day-being-told-us-short-ventilators,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/04/156/88/AP20101596418280.jpg?ve=1&tl=1,politics,3 months ago,"President Trump called it the ""scariest day of [his] life,"" when he learned the United States might not have enough ventilators to fight the novel coronavirus (COVID-19), during a White House press briefing on Tuesday."
Pete Buttigieg: States doing 'most of the work' on coronavirus because Trump has failed,https://www.foxnews.com/media/pete-buttigieg-states-trump-failed,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/03/156/88/Trump-Buttigieg_AP.jpg?ve=1&tl=1,media,3 months ago,Former Indiana Mayor Pete Buttigieg said on Thursday that state and local governments have had to pick up the slack on the coronavirus as President Trump has failed to respond sufficiently.
