Title,Title_link,kicker,package1,Thumbnail
"Trump ‘not concerned’ over coronavirus exposure, but Mar-a-Lago touts virus precautions",https://www.miamiherald.com/news/health-care/article241165836.html,Health Care,"March 13, 2020, 2:23 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5618154292001/aa3fae80-9486-4e7b-9713-09a5e0bce998/dc4e71ac-d5d4-4bd2-be64-dd9992530050/1280x720/match/image.jpg
"Hydroxychloroquine, a drug Trump touts, now being tested in humans to treat coronavirus",https://www.miamiherald.com/news/coronavirus/article241888181.html,Coronavirus,"April 9, 2020, 2:07 PM",https://www.star-telegram.com/latest-news/dihs0o/picture241845286/alternates/LANDSCAPE_768/Hydroxychloroquine%20Texas
Why is Trump so mad at the World Health Organization?,https://www.miamiherald.com/news/coronavirus/article242031956.html,Coronavirus,"April 15, 2020, 4:28 PM",https://www.mcclatchydc.com/latest-news/eyyle0/picture242035756/alternates/LANDSCAPE_768/AP20083004724194.jpg
Trump declares national emergency due to coronavirus pandemic. Here’s what it means,https://www.miamiherald.com/news/nation-world/national/article241166076.html,National,"March 13, 2020, 1:31 PM",https://www.miamiherald.com/latest-news/rg7jo4/picture241166811/alternates/LANDSCAPE_768/AP20072587981185.jpg
Trump visits another mask facility without wearing a mask — this time in Pennsylvania,https://www.miamiherald.com/news/coronavirus/article242742021.html,Coronavirus,"May 14, 2020, 5:05 PM",https://www.centredaily.com/latest-news/umdqvd/picture242742366/alternates/LANDSCAPE_768/AP20135715621907.jpg
Trump to sign executive order to ‘suspend immigration’ amid coronavirus pandemic,https://www.miamiherald.com/news/local/immigration/article242162656.html,Immigration,"April 20, 2020, 10:58 PM",https://www.elnuevoherald.com/ultimas-noticias/itsgxf/picture242048836/alternates/LANDSCAPE_768/Virus%20Outbreak%20Trump
Trump says he’ll order meatpacking plants to stay open despite coronavirus outbreaks,https://www.miamiherald.com/news/coronavirus/article242345926.html,Coronavirus,"April 28, 2020, 4:07 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5615998027001/6d7dd471-b5e8-4981-a785-83021e5a1904/f0d0ad5f-ae6c-4a41-9782-813805bda112/1280x720/match/image.jpg
"Trump, DeSantis stay in sync as the president’s home state fights coronavirus",https://www.miamiherald.com/news/politics-government/article241709286.html,Politics,"April 2, 2020, 7:59 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/jit/5618154292001/daebb69c-5c3d-4a6a-b262-be992c0bc196/main/1280x720/47s562ms/match/image.jpg
‘Largest study ever’ shows that hydroxychloroquine raises risk of coronavirus death,https://www.miamiherald.com/news/coronavirus/article242929556.html,Coronavirus,"May 22, 2020, 1:41 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/jit/5615998022001/14d0d9c5-dc2a-4cfa-bf2b-9cfdd94ab4dd/main/1280x720/28s437ms/match/image.jpg
"Personal valet for Trump tests positive for coronavirus, White House confirms",https://www.miamiherald.com/news/coronavirus/article242564896.html,Coronavirus,"May 7, 2020, 11:27 AM",https://cf-images.us-east-1.prod.boltdns.net/v1/jit/5615998022001/2ffdb69b-b104-4ff1-951a-af149eb44669/main/1280x720/34s624ms/match/image.jpg
Trump to invoke the Defense Production Act to combat coronavirus. What’s that?,https://www.miamiherald.com/news/coronavirus/article241302711.html,Coronavirus,"March 18, 2020, 12:27 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5615998022001/1b20426d-3065-4590-b81f-8c004d15286b/bff45f29-e052-465d-a54b-81e4df627e65/1280x720/match/image.jpg
Newsom gets starring role in new Trump campaign ad praising coronavirus response,https://www.miamiherald.com/news/politics-government/election/article242385551.html,Elections,"April 29, 2020, 6:09 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5615998022001/1b20426d-3065-4590-b81f-8c004d15286b/bff45f29-e052-465d-a54b-81e4df627e65/1280x720/match/image.jpg
Trump met someone infected with coronavirus. He still has no plans to get tested,https://www.miamiherald.com/news/nation-world/national/article241143226.html,National,"March 12, 2020, 5:22 PM",https://www.miamiherald.com/latest-news/jiiere/picture241130281/alternates/LANDSCAPE_768/Instagram.jpg
African American leaders want more White House outreach to reduce coronavirus deaths,https://www.miamiherald.com/news/nation-world/national/article242192861.html,National,"April 22, 2020, 2:59 PM",https://www.mcclatchy-wires.com/incoming/fx3udi/picture241337016/alternates/LANDSCAPE_768/Virus_Outbreak_Trump_22172.jpg
Trump’s coronavirus team says supplies are coming. The question is where to send them,https://www.miamiherald.com/news/coronavirus/article241752951.html,Coronavirus,"April 3, 2020, 4:07 PM",https://www.mcclatchydc.com/latest-news/ya5fch/picture241727801/alternates/LANDSCAPE_768/AP20093778337042.jpg
Boaters journey to Mar-a-Lago in support of Donald Trump after coronavirus restrictions eased,https://www.miamiherald.com/news/state/florida/article242488176.html,Florida,"May 4, 2020, 5:15 PM",https://www.miamiherald.com/latest-news/nftqji/picture242492431/alternates/LANDSCAPE_768/00000.00_03_01_10.Still002.jpg
Sam Carchidi: Whether NHL teams avoid coronavirus could trump players’ skill if playoffs are held,https://www.miamiherald.com/sports/nhl/article243695092.html,Hockey,"June 21, 2020, 4:00 AM",
Coronavirus task force briefs — but not at White House,https://www.miamiherald.com/news/article243831752.html,News,"June 26, 2020, 8:06 PM",https://www.mcclatchy-wires.com/incoming/2f6om0/picture243831652/alternates/LANDSCAPE_768/APTOPIX_Virus_Outbreak_Washington_63735.jpg
Trump to invoke the Defense Production Act to combat coronavirus. What’s that?,https://www.miamiherald.com/news/coronavirus/article241302711.html,Coronavirus,"March 18, 2020, 12:27 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5615998022001/1b20426d-3065-4590-b81f-8c004d15286b/bff45f29-e052-465d-a54b-81e4df627e65/1280x720/match/image.jpg
Newsom gets starring role in new Trump campaign ad praising coronavirus response,https://www.miamiherald.com/news/politics-government/election/article242385551.html,Elections,"April 29, 2020, 6:09 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5615998022001/1b20426d-3065-4590-b81f-8c004d15286b/bff45f29-e052-465d-a54b-81e4df627e65/1280x720/match/image.jpg
‘Largest study ever’ shows that hydroxychloroquine raises risk of coronavirus death,https://www.miamiherald.com/news/coronavirus/article242929556.html,Coronavirus,"May 22, 2020, 1:41 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/jit/5615998022001/14d0d9c5-dc2a-4cfa-bf2b-9cfdd94ab4dd/main/1280x720/28s437ms/match/image.jpg
Trump met someone infected with coronavirus. He still has no plans to get tested,https://www.miamiherald.com/news/nation-world/national/article241143226.html,National,"March 12, 2020, 5:22 PM",https://www.miamiherald.com/latest-news/jiiere/picture241130281/alternates/LANDSCAPE_768/Instagram.jpg
Trump’s coronavirus team says supplies are coming. The question is where to send them,https://www.miamiherald.com/news/coronavirus/article241752951.html,Coronavirus,"April 3, 2020, 4:07 PM",https://www.mcclatchydc.com/latest-news/ya5fch/picture241727801/alternates/LANDSCAPE_768/AP20093778337042.jpg
White House’s coronavirus task force will no longer brief public,https://www.miamiherald.com/news/politics-government/national-politics/article243678832.html,National Politics,"June 19, 2020, 4:00 AM",
Trump says he’s ‘all for masks’ after GOP leaders voiced support for face coverings,https://www.miamiherald.com/news/coronavirus/article243933102.html,Coronavirus,"July 1, 2020, 3:14 PM",https://www.mcclatchy-wires.com/incoming/wdukhg/picture243923912/alternates/LANDSCAPE_768/Virus_Outbreak_Trump_13092.jpg
Sam Carchidi: Whether NHL teams avoid coronavirus could trump players’ skill if playoffs are held,https://www.miamiherald.com/sports/nhl/article243695092.html,Hockey,"June 21, 2020, 4:00 AM",
US orders 300 million doses of coronavirus vaccine. When could they be ready?,https://www.miamiherald.com/news/coronavirus/article242896061.html,Coronavirus,"May 21, 2020, 12:26 PM",https://www.miamiherald.com/latest-news/44yi2y/picture242820541/alternates/LANDSCAPE_768/AP20135384613007%20(1).jpg
US orders 300 million doses of coronavirus vaccine. When could they be ready?,https://www.miamiherald.com/news/coronavirus/article242896061.html,Coronavirus,"May 21, 2020, 12:26 PM",https://www.miamiherald.com/latest-news/44yi2y/picture242820541/alternates/LANDSCAPE_768/AP20135384613007%20(1).jpg
AP FACT CHECK: Trump tries to pin low turnout on protesters,https://www.miamiherald.com/news/article243705227.html,News,"June 22, 2020, 12:46 AM",https://www.mcclatchy-wires.com/incoming/lmq1g9/picture243691927/alternates/LANDSCAPE_768/Election_2020_Trump_21538.jpg
"Trump shuts U.S. borders to most of Europe, bans travel to stop  coronavirus spread",https://www.miamiherald.com/news/nation-world/national/article241115986.html,National,"March 11, 2020, 10:02 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5502557042001/202e66c6-2cb8-4d5a-8d0c-cd94dbff18c6/143d8f9e-5c82-4b54-aa37-d4675353031b/1280x720/match/image.jpg
Is it time to reopen US? Trump unveils guidelines to end state coronavirus lockdowns,https://www.miamiherald.com/news/coronavirus/article242070576.html,Coronavirus,"April 16, 2020, 7:03 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/jit/5615998022001/aa2436b3-4289-4332-bdf2-19b70f8e1a06/main/1280x720/1m52s970ms/match/image.jpg
"Pence distancing from Trump, West Wing for ‘immediate future’ after aide has COVID-19",https://www.miamiherald.com/news/coronavirus/article242662836.html,Coronavirus,"May 11, 2020, 9:36 PM",https://www.mcclatchydc.com/latest-news/fwbiek/picture242600141/alternates/LANDSCAPE_768/Screen%20Shot%202020-05-08%20at%2012.08.23%20PM.png
Poison calls spike in some areas after Trump suggests injecting disinfectant for COVID,https://www.miamiherald.com/news/coronavirus/article242318056.html,Coronavirus,"April 27, 2020, 2:19 PM",https://www.islandpacket.com/latest-news/33r3ke/picture241164066/alternates/LANDSCAPE_768/IMG_4867.jpg
Trump pushes hydroxychloroquine to treat coronavirus. But what are the side effects?,https://www.miamiherald.com/news/coronavirus/article241856266.html,Coronavirus,"April 8, 2020, 4:44 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5502557042001/7207c8d5-e85c-4d2d-8e2d-a2efabf466f1/08b6c186-78f7-4274-b5da-965abf718148/1280x720/match/image.jpg
"White House aides test positive for coronavirus, raising debate on masks in West Wing",https://www.miamiherald.com/news/coronavirus/article242606791.html,Coronavirus,"May 8, 2020, 4:26 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5615998022001/a9d4106f-8bc1-43ab-bc2f-a7095451320f/12b304bc-ed67-4ca4-a137-977b100fedd4/1280x720/match/image.jpg
"Beyond the Bubble podcast: Trump, the coronavirus pandemic and the African American vote",https://www.miamiherald.com/news/politics-government/election/article242239516.html,Elections,"April 23, 2020, 6:39 PM",
Trump directed experts to see if UV light can kill coronavirus. Here are the facts,https://www.miamiherald.com/news/coronavirus/article242262471.html,Coronavirus,"April 24, 2020, 12:21 PM",https://www.miamiherald.com/latest-news/f5etf0/picture242262621/alternates/LANDSCAPE_768/AP20114827199389.jpg
"President of Brazil, who dined with Trump in Florida, says he tested negative for coronavirus",https://www.miamiherald.com/news/nation-world/world/americas/article241162221.html,Americas,"March 13, 2020, 5:27 PM",https://www.miamiherald.com/latest-news/jiiere/picture241130281/alternates/LANDSCAPE_768/Instagram.jpg
Dr. Fauci says there’s no evidence coronavirus created in a lab; Trump hints there is,https://www.miamiherald.com/news/coronavirus/article242513611.html,Coronavirus,"May 5, 2020, 3:55 PM",https://www.miamiherald.com/latest-news/9mezzq/picture242513811/alternates/LANDSCAPE_768/AP20109010659615.jpg
"Anti-Asian American discrimination soars during coronavirus pandemic, group says",https://www.miamiherald.com/news/coronavirus/article243035066.html,Coronavirus,"May 28, 2020, 10:28 AM",https://www.sacbee.com/latest-news/mkk22u/picture243050991/alternates/LANDSCAPE_768/AP20111764704827.jpg
AP News in Brief at 11:04 p.m. EDT,https://www.miamiherald.com/news/nation-world/article243863437.html,Nation & World,"June 29, 2020, 11:04 PM",
Brazilian official who met with Trump in South Florida tests positive for coronavirus,https://www.miamiherald.com/news/nation-world/world/americas/article241117911.html,Americas,"March 12, 2020, 7:20 PM",https://www.elnuevoherald.com/ultimas-noticias/snngzu/picture233529332/alternates/LANDSCAPE_768/AFP_1J76JD
How many coronavirus patients on ventilators survive? Scientists race for an answer,https://www.miamiherald.com/news/coronavirus/article242008566.html,Coronavirus,"April 15, 2020, 11:06 AM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5502557041001/ad53ef7d-5b41-44df-9ff6-b2d79881ed83/f4790c93-035d-4547-9102-f4b20b82b3f4/1280x720/match/image.jpg
"Instagram, podcasts and Fox News: Biden urged to get more creative amid coronavirus crisis",https://www.miamiherald.com/news/politics-government/election/article241621431.html,Elections,"March 30, 2020, 2:10 PM",https://www.mcclatchy-wires.com/incoming/rl8his/picture241503631/alternates/LANDSCAPE_768/EEUU-ELECCIONES_BIDEN_83355.jpg
Now Trump says he took coronavirus test. He dined with Brazilian officials who got ill,https://www.miamiherald.com/news/nation-world/national/article241194386.html,National,"March 14, 2020, 8:23 AM",https://www.miamiherald.com/latest-news/sp3a4b/picture241146116/alternates/LANDSCAPE_768/Make%20Brazil%20great%20again%20hats%20(cropped)%20(1)_fitted.png
